"ï.¿location"	"subject"	"measure"	"time"	"value"	"Country"
"AZE"	"DEATH"	"NBR"	2000	596	"Azerbaidjan"
"AZE"	"DEATH"	"1000000HAB"	2004	97.63	"Azerbaidjan"
"AZE"	"DEATH"	"NBR"	2009	930	"Azerbaidjan"
"AZE"	"DEATH"	"NBR"	2010	925	"Azerbaidjan"
"AZE"	"INJURE"	"NBR"	2016	2003	"Azerbaidjan"
"AZE"	"DEATH"	"1000000HAB"	2001	68.92	"Azerbaidjan"
"AZE"	"DEATH"	"NBR"	2008	1052	"Azerbaidjan"
"AZE"	"INJURE"	"NBR"	2015	2265	"Azerbaidjan"
"AZE"	"DEATH"	"1000000HAB"	2003	87.93	"Azerbaidjan"
"AZE"	"DEATH"	"1000000HAB"	2002	78.56	"Azerbaidjan"
"AZE"	"DEATH"	"1000000HAB"	2005	126.91	"Azerbaidjan"
"AZE"	"INJURE"	"NBR"	2014	2676	"Azerbaidjan"
"AZE"	"INJURE"	"NBR"	2013	2948	"Azerbaidjan"
"AZE"	"DEATH"	"1000000HAB"	2011	110.76	"Azerbaidjan"
"AZE"	"DEATH"	"NBR"	2006	1027	"Azerbaidjan"
"AZE"	"DEATH"	"1000000HAB"	2006	121.04	"Azerbaidjan"
"AZE"	"DEATH"	"1000000HAB"	2000	74.05	"Azerbaidjan"
"AZE"	"ACCIDENTCASUAL"	"NBR"	2011	2890	"Azerbaidjan"
"AZE"	"DEATH"	"NBR"	2005	1065	"Azerbaidjan"
"AZE"	"INJURE"	"NBR"	2012	2997	"Azerbaidjan"
"AZE"	"DEATH"	"NBR"	2007	1107	"Azerbaidjan"
"AZE"	"DEATH"	"NBR"	2004	811	"Azerbaidjan"
"AZE"	"INJURE"	"NBR"	2008	3232	"Azerbaidjan"
"AZE"	"DEATH"	"1000000HAB"	2013	123.61	"Azerbaidjan"
"AZE"	"DEATH"	"NBR"	2011	1016	"Azerbaidjan"
"AZE"	"INJURE"	"NBR"	2011	3031	"Azerbaidjan"
"AZE"	"DEATH"	"NBR"	2012	1168	"Azerbaidjan"
"AZE"	"DEATH"	"1000000HAB"	2010	102.16	"Azerbaidjan"
"AZE"	"DEATH"	"1000000HAB"	2012	125.65	"Azerbaidjan"
"AZE"	"INJURE"	"NBR"	2000	1603	"Azerbaidjan"
"AZE"	"INJURE"	"NBR"	2010	2871	"Azerbaidjan"
"AZE"	"DEATH"	"1000000HAB"	2008	120.04	"Azerbaidjan"
"AZE"	"DEATH"	"NBR"	2002	642	"Azerbaidjan"
"AZE"	"DEATH"	"NBR"	2003	724	"Azerbaidjan"
"AZE"	"DEATH"	"NBR"	2016	759	"Azerbaidjan"
"AZE"	"DEATH"	"1000000HAB"	2009	103.94	"Azerbaidjan"
"AZE"	"ACCIDENTCASUAL"	"NBR"	2014	2635	"Azerbaidjan"
"AZE"	"ACCIDENTCASUAL"	"NBR"	2012	2892	"Azerbaidjan"
"AZE"	"INJURE"	"NBR"	2009	3044	"Azerbaidjan"
"AZE"	"ACCIDENTCASUAL"	"NBR"	2013	2846	"Azerbaidjan"
"AZE"	"INJURE"	"NBR"	2002	2486	"Azerbaidjan"
"AZE"	"DEATH"	"1000000HAB"	2007	129	"Azerbaidjan"
"AZE"	"INJURE"	"NBR"	2005	3668	"Azerbaidjan"
"AZE"	"DEATH"	"NBR"	2001	559	"Azerbaidjan"
"AZE"	"DEATH"	"NBR"	2015	894	"Azerbaidjan"
"AZE"	"ACCIDENTCASUAL"	"NBR"	2016	2006	"Azerbaidjan"
"AZE"	"ACCIDENTCASUAL"	"NBR"	2005	3179	"Azerbaidjan"
"AZE"	"ACCIDENTCASUAL"	"NBR"	2010	2721	"Azerbaidjan"
"AZE"	"INJURE"	"NBR"	2007	3432	"Azerbaidjan"
"AZE"	"INJURE"	"NBR"	2001	2228	"Azerbaidjan"
"AZE"	"INJURE"	"NBR"	2004	2766	"Azerbaidjan"
"AZE"	"ACCIDENTCASUAL"	"NBR"	2002	2193	"Azerbaidjan"
"AZE"	"DEATH"	"NBR"	2013	1164	"Azerbaidjan"
"AZE"	"INJURE"	"NBR"	2006	3606	"Azerbaidjan"
"AZE"	"ACCIDENTCASUAL"	"NBR"	2015	2220	"Azerbaidjan"
"AZE"	"ACCIDENTCASUAL"	"NBR"	2009	2792	"Azerbaidjan"
"AZE"	"ACCIDENTCASUAL"	"NBR"	2007	3104	"Azerbaidjan"
"AZE"	"DEATH"	"NBR"	2014	1124	"Azerbaidjan"
"AZE"	"INJURE"	"NBR"	2003	2691	"Azerbaidjan"
"AZE"	"ACCIDENTCASUAL"	"NBR"	2008	2970	"Azerbaidjan"
"AZE"	"ACCIDENTCASUAL"	"NBR"	2000	1987	"Azerbaidjan"
"AZE"	"ACCIDENTCASUAL"	"NBR"	2003	2311	"Azerbaidjan"
"AZE"	"ACCIDENTCASUAL"	"NBR"	2001	1985	"Azerbaidjan"
"AZE"	"ACCIDENTCASUAL"	"NBR"	2004	2388	"Azerbaidjan"
"AZE"	"ACCIDENTCASUAL"	"NBR"	2006	3197	"Azerbaidjan"
"BEL"	"DEATH"	"NBR"	2004	1163	"Belgium"
"BEL"	"DEATH"	"1000000VEH"	2002	228.78	"Belgium"
"BEL"	"ACCIDENTCASUAL"	"NBR"	2000	49065	"Belgium"
"BEL"	"ACCIDENTCASUAL"	"NBR"	2016	40096	"Belgium"
"BEL"	"DEATH"	"1000000HAB"	2006	101.35	"Belgium"
"BEL"	"DEATH"	"NBR"	2009	943	"Belgium"
"BEL"	"DEATH"	"1000000HAB"	2000	143.4	"Belgium"
"BEL"	"INJURE"	"NBR"	2001	65294	"Belgium"
"BEL"	"INJURE"	"NBR"	2008	64437	"Belgium"
"BEL"	"DEATH"	"NBR"	2003	1216	"Belgium"
"BEL"	"ACCIDENTCASUAL"	"NBR"	2010	45918	"Belgium"
"BEL"	"DEATH"	"NBR"	2000	1470	"Belgium"
"BEL"	"INJURE"	"NBR"	2007	65850	"Belgium"
"BEL"	"INJURE"	"NBR"	2016	51190	"Belgium"
"BEL"	"DEATH"	"NBR"	2008	944	"Belgium"
"BEL"	"DEATH"	"NBR"	2014	727	"Belgium"
"BEL"	"DEATH"	"NBR"	2011	862	"Belgium"
"BEL"	"DEATH"	"NBR"	2002	1353	"Belgium"
"BEL"	"ACCIDENTCASUAL"	"NBR"	2015	40303	"Belgium"
"BEL"	"DEATH"	"NBR"	2001	1486	"Belgium"
"BEL"	"DEATH"	"NBR"	2012	770	"Belgium"
"BEL"	"ACCIDENTCASUAL"	"NBR"	2012	44234	"Belgium"
"BEL"	"ACCIDENTCASUAL"	"NBR"	2011	47945	"Belgium"
"BEL"	"INJURE"	"NBR"	2014	53248	"Belgium"
"BEL"	"ACCIDENTCASUAL"	"NBR"	2001	47444	"Belgium"
"BEL"	"DEATH"	"NBR"	2005	1089	"Belgium"
"BEL"	"DEATH"	"NBR"	2006	1069	"Belgium"
"BEL"	"DEATH"	"NBR"	2007	1067	"Belgium"
"BEL"	"DEATH"	"1000000VEH"	2000	256.32	"Belgium"
"BEL"	"INJURE"	"NBR"	2004	62992	"Belgium"
"BEL"	"INJURE"	"NBR"	2000	67961	"Belgium"
"BEL"	"DEATH"	"1000000VEH"	2001	254.58	"Belgium"
"BEL"	"DEATH"	"NBR"	2013	724	"Belgium"
"BEL"	"ACCIDENTCASUAL"	"NBR"	2013	41279	"Belgium"
"BEL"	"DEATH"	"1000000VEH"	2010	125.73	"Belgium"
"BEL"	"ACCIDENTCASUAL"	"NBR"	2009	47798	"Belgium"
"BEL"	"DEATH"	"1000000HAB"	2002	130.94	"Belgium"
"BEL"	"INJURE"	"NBR"	2015	51839	"Belgium"
"BEL"	"DEATH"	"NBR"	2015	732	"Belgium"
"BEL"	"DEATH"	"1000000HAB"	2001	144.46	"Belgium"
"BEL"	"DEATH"	"1000000HAB"	2005	103.93	"Belgium"
"BEL"	"DEATH"	"1000000HAB"	2004	111.6	"Belgium"
"BEL"	"DEATH"	"1000000VEH"	2007	167.71	"Belgium"
"BEL"	"DEATH"	"NBR"	2010	841	"Belgium"
"BEL"	"ACCIDENTCASUAL"	"NBR"	2003	50479	"Belgium"
"BEL"	"ACCIDENTCASUAL"	"NBR"	2014	41481	"Belgium"
"BEL"	"DEATH"	"1000000VEH"	2011	125.62	"Belgium"
"BEL"	"INJURE"	"NBR"	2013	53967	"Belgium"
"BEL"	"DEATH"	"1000000VEH"	2008	145.63	"Belgium"
"BEL"	"INJURE"	"NBR"	2003	65386	"Belgium"
"BEL"	"DEATH"	"1000000HAB"	2003	117.19	"Belgium"
"BEL"	"DEATH"	"1000000HAB"	2007	100.42	"Belgium"
"BEL"	"DEATH"	"1000000VEH"	2012	111.26	"Belgium"
"BEL"	"INJURE"	"NBR"	2006	65297	"Belgium"
"BEL"	"INJURE"	"NBR"	2005	65342	"Belgium"
"BEL"	"DEATH"	"1000000VEH"	2005	176.81	"Belgium"
"BEL"	"ACCIDENTCASUAL"	"NBR"	2004	48670	"Belgium"
"BEL"	"INJURE"	"NBR"	2002	64989	"Belgium"
"BEL"	"INJURE"	"NBR"	2010	60363	"Belgium"
